dx,dy,action,speed_multiplier,enemy_count
-14,-194,2,1.0,6
-17,-194,0,1.0,5
-3,-195,2,1.0,5
-3,-195,2,1.0,5
15,-163,2,1.0,5
12,-149,0,1.0,5
1,-192,2,1.0,5
1,-192,2,1.0,5
28,-194,2,1.0,4
28,-193,2,1.0,4
28,-193,2,1.0,4
28,-193,1,1.0,4
0,-163,2,1.0,4
2,-157,2,1.0,3
2,-157,2,1.0,3
2,-157,2,1.0,3
2,-157,2,1.0,3
2,-157,2,1.0,3
-5,-163,2,1.0,2
55,-163,2,1.0,2
-75,-184,2,1.0,2
-75,-184,2,1.0,2
-75,-184,0,1.0,2
5,-184,2,1.0,2
5,-184,2,1.0,2
5,-184,2,1.0,2
142,-140,1,1.0,1
-63,-140,0,1.0,1
17,-140,2,1.0,1
17,-140,1,1.0,1
-28,-140,2,1.0,1
-28,-140,0,1.0,1
-13,-140,2,1.0,1
-13,-140,2,1.0,1
-106,-317,0,1.0,14
-1,-298,2,1.0,14
0,-281,2,1.0,13
0,-266,2,1.0,13
0,-301,2,1.0,13
0,-243,2,1.0,10
0,-265,2,1.0,10
0,-257,2,1.0,10
0,-300,2,1.0,9
0,-282,2,1.0,9
0,-230,1,1.0,9
-137,-201,2,1.0,9
-37,-178,0,1.0,9
-12,-178,2,1.0,9
-40,-173,2,1.0,8
-40,-173,2,1.0,8
-40,-173,2,1.0,8
-40,-173,2,1.0,8
-40,-173,2,1.0,8
15,-195,0,1.0,8
-10,-185,2,1.0,8
25,-172,2,1.0,7
22,-171,2,1.0,7
22,-171,0,1.0,7
-11,-120,2,1.0,7
2,-171,2,1.0,7
2,-171,2,1.0,6
21,-139,1,1.0,6
-119,-137,2,1.0,6
-119,-137,0,1.0,6
-39,-137,2,1.0,6
-39,-137,2,1.0,6
-39,-137,0,1.0,6
71,-136,2,1.0,6
-72,-362,0,1.0,14
0,-313,0,1.0,10
0,-343,0,1.0,8
0,-320,0,1.0,7
0,-297,0,1.0,6
0,-252,2,1.0,5
0,-274,2,1.0,4
-1,-226,2,1.0,4
0,-263,2,1.0,4
0,-257,2,1.0,3
0,-252,2,1.0,3
0,-246,2,1.0,3
0,-239,2,1.0,3
0,-233,2,1.0,3
0,-230,2,1.0,2
-2,-222,2,1.0,2
-2,-216,2,1.0,2
0,-211,2,1.0,2
-59,-401,0,1.0,8
0,-293,2,1.0,8
-11,-264,2,1.0,7
1,-379,2,1.0,6
0,-353,2,1.0,6
1,-336,2,1.0,5
1,-279,2,1.0,5
0,-272,2,1.0,5
-1,-257,2,1.0,4
-1,-242,2,1.0,4
0,-266,0,1.0,3
25,-260,2,1.0,3
28,-235,2,1.0,2
0,-221,2,1.0,2
143,-202,1,1.0,2
-17,-193,2,1.0,2
-91,-401,0,1.0,8
0,-296,2,1.0,8
0,-338,2,1.0,8
0,-416,2,1.0,7
0,-411,2,1.0,7
0,-406,2,1.0,7
0,-353,2,1.0,7
-204,-321,0,1.0,8
-11,-445,2,1.0,8
0,-440,2,1.0,8
-1,-433,2,1.0,8
0,-342,2,1.0,7
0,-421,0,1.0,7
18,-279,2,1.0,7
13,-411,2,1.0,7
2,-407,2,1.0,7
0,-346,2,1.0,6
0,-391,2,1.0,6
0,-336,2,1.0,6
0,-380,2,1.0,6
0,-284,2,1.0,6
-75,-317,0,1.0,8
-30,-437,2,1.0,8
-1,-416,2,1.0,7
0,-370,2,1.0,7
0,-365,2,1.0,7
-1,-400,2,1.0,7
0,-350,2,1.0,6
0,-343,2,1.0,6
0,-376,2,1.0,6
0,-321,2,1.0,6
0,-363,2,1.0,5
0,-307,2,1.0,5
0,-350,2,1.0,5
0,-345,2,1.0,5
0,-284,0,1.0,4
-2,-279,2,1.0,4
-131,-360,0,1.0,8
-19,-349,2,1.0,8
1,-337,2,1.0,8
-6,-332,2,1.0,7
0,-326,2,1.0,7
-1,-282,2,1.0,7
0,-314,2,1.0,7
0,-308,2,1.0,7
-2,-419,0,1.0,8
0,-270,2,1.0,8
0,-231,0,1.0,6
-7,-317,1,1.3,10
-276,-275,0,1.3,10
231,-331,1,1.3,10
-123,-158,0,1.3,10
0,-306,1,1.3,9
-305,-305,0,1.3,9
200,-332,1,1.3,9
-2,-185,2,1.3,9
-2,-146,0,1.3,7
-8,-153,0,1.3,3
-32,-106,1,1.3,3
-36,-394,0,1.0,8
-1,-316,2,1.0,8
0,-297,2,1.0,7
0,-291,2,1.0,7
0,-286,2,1.0,7
0,-281,2,1.0,7
0,-312,2,1.0,6
0,-252,2,1.0,6
-1,-280,2,1.0,5
-1,-268,2,1.0,5
-1,-287,2,1.0,4
0,-236,2,1.0,4
0,-250,1,1.0,3
-9,-194,2,1.0,3
-1,-223,0,1.0,2
-1,-209,2,1.0,2
0,-200,2,1.0,1
46,-194,2,1.0,1
93,-188,1,1.0,1
40,-187,1,1.0,1
0,-187,2,1.0,1
-154,-325,0,1.0,10
-1,-446,2,1.0,10
0,-408,2,1.0,9
0,-244,1,1.0,8
-1,-215,2,1.0,4
80,-183,1,1.0,3
10,-183,2,1.0,3
-104,-171,0,1.0,2
16,-171,2,1.0,2
10,-156,1,1.0,2
-19,-171,2,1.0,2
30,-155,2,1.0,2
30,-155,1,1.0,2
-10,-155,2,1.0,2
-10,-155,2,1.0,2
56,-170,1,1.0,1
11,-170,2,1.0,1
11,-170,2,1.0,1
-176,-380,2,1.0,12
-137,-364,0,1.0,12
0,-226,2,1.0,12
0,-340,2,1.0,11
0,-322,2,1.0,10
0,-310,2,1.0,10
0,-301,2,1.0,9
0,-283,2,1.0,9
0,-272,2,1.0,9
0,-254,2,1.0,8
0,-201,2,1.0,8
0,-225,2,1.0,7
0,-205,2,1.0,7
-1,-200,2,1.0,6
-1,-200,2,1.0,6
-1,-200,2,1.0,5
-1,-200,2,1.0,5
-1,-200,2,1.0,4
-1,-200,2,1.0,4
11,-167,1,1.0,3
-105,-171,2,1.0,3
-134,-150,0,1.0,3
-4,-138,2,1.0,3
11,-150,2,1.0,2
-108,-156,2,1.0,1
-108,-156,0,1.0,1
12,-156,2,1.0,1
-152,-339,2,1.0,14
-101,-318,1,1.0,14
-95,-296,1,1.0,14
-116,-290,2,1.0,14
-132,-271,0,1.0,14
-33,-251,0,1.0,14
-18,-245,1,1.0,14
-4,-291,0,1.0,14
0,-209,1,1.0,14
-154,-65,0,1.0,14
-1,-312,1,1.0,14
-98,-210,0,1.0,14
19,-200,1,1.0,14
-63,-190,0,1.0,14
-125,-359,0,1.0,8
11,-441,2,1.0,8
-1,-399,0,1.0,7
22,-181,2,1.0,6
54,-92,2,1.0,6
3,-151,2,1.0,6
63,-151,1,1.0,5
-74,-336,0,1.0,8
-18,-367,2,1.0,8
0,-388,0,1.0,7
14,-339,2,1.0,7
0,-365,2,1.0,6
0,-345,2,1.0,6
-1,-319,2,1.0,5
-1,-261,2,1.0,5
-1,-248,0,1.0,4
22,-199,2,1.0,4
0,-229,2,1.0,4
1,-246,1,1.0,3
-23,-199,2,1.0,3
-1,-220,0,1.0,2
21,-214,2,1.0,2
33,-181,1,1.0,2
-76,-188,2,1.0,2
-73,-187,0,1.0,2
-2,-181,2,1.0,2
62,-186,2,1.0,1
152,-173,2,1.0,1
130,-163,1,1.0,1
115,-159,1,1.0,1
15,-159,2,1.0,1
15,-159,1,1.0,1
-20,-159,2,1.0,1
-25,-159,0,1.0,1
224,-135,2,1.0,1
185,-119,1,1.0,1
5,-117,2,1.0,1
-127,-408,1,1.0,10
-1,-190,0,1.0,10
66,-122,1,1.0,10
-149,-462,0,1.0,10
-1,-362,1,1.0,10
-36,-357,0,1.0,8
0,-348,2,1.0,8
-10,-418,2,1.0,7
0,-318,2,1.0,7
0,-313,0,1.0,7
6,-356,2,1.0,7
0,-339,0,1.0,7
9,-383,2,1.0,7
0,-373,2,1.0,7
0,-367,2,1.0,6
-1,-363,2,1.0,6
0,-356,2,1.0,6
0,-352,0,1.0,6
-1,-206,2,1.0,6
-19,-199,2,1.0,5
-19,-199,2,1.0,5
-19,-199,2,1.0,4
-19,-199,2,1.0,4
10,-225,2,1.0,4
-19,-199,2,1.0,3
-19,-199,2,1.0,3
-19,-199,2,1.0,3
-19,-199,2,1.0,3
-19,-198,1,1.0,3
-11,-193,0,1.0,3
-24,-189,2,1.0,3
-24,-189,0,1.0,3
-19,-189,2,1.0,3
-19,-189,1,1.0,3
-32,-168,2,1.0,3
28,-167,0,1.0,3
5,-161,2,1.0,3
56,-182,1,1.0,2
-14,-151,2,1.0,2
-26,-180,0,1.0,1
104,-174,1,1.0,1
-169,-164,0,1.0,1
5,-156,2,1.0,1
-154,-325,1,1.0,10
-108,-318,0,1.0,10
4,-449,2,1.0,10
0,-402,2,1.0,9
1,-306,0,1.0,8
-1,-286,2,1.0,7
1,-267,2,1.0,6
0,-248,2,1.0,6
0,-200,1,1.0,5
-203,-160,2,1.0,5
-152,-138,0,1.0,5
-115,-138,2,1.0,5
-55,-137,2,1.0,5
-102,-124,1,1.0,5
-142,-124,2,1.0,5
-151,-131,0,1.0,5
16,-81,1,1.0,5
-138,-325,0,1.0,10
16,-399,1,1.0,10
-157,-233,2,1.0,10
-84,-341,0,1.0,10
56,-185,2,1.0,9
-7,-164,2,1.0,7
48,-160,1,1.0,6
-108,-399,0,1.0,10
7,-428,2,1.0,10
23,-377,1,1.0,9
-246,-179,2,1.0,8
-128,-154,1,1.0,8
-171,-122,0,1.0,8
17,-214,0,1.0,7
-87,-389,0,1.0,8
-27,-383,0,1.0,8
0,-348,2,1.0,8
24,-228,1,1.0,7
-1,-287,2,1.0,7
0,-285,2,1.0,7
-1,-266,0,1.0,6
12,-192,0,1.0,8
194,-146,1,1.0,8
-139,-321,0,1.0,8
30,-423,2,1.0,8
12,-265,0,1.0,7
72,-358,1,1.0,7
-1,-228,1,1.0,5
-2,-290,2,1.0,8
0,-403,2,1.0,7
0,-346,2,1.0,7
0,-339,2,1.0,7
0,-310,2,1.0,6
0,-338,1,1.0,5
-238,-159,2,1.0,5
-111,-167,0,1.0,5
-64,-313,1,1.0,8
-98,-306,0,1.0,8
100,-352,2,1.0,8
88,-243,1,1.0,8
-30,-218,2,1.0,8
-352,-201,0,1.0,7
-22,-179,1,1.0,7
-81,-187,2,1.0,7
-103,-171,0,1.0,7
-43,-323,0,1.0,8
1,-361,1,1.0,8
-312,-252,0,1.0,8
-13,-227,2,1.0,8
-1,-291,2,1.0,7
-1,-230,2,1.0,6
0,-222,2,1.0,6
-1,-201,2,1.0,6
-2,-274,2,1.0,5
-2,-262,2,1.0,5
15,-185,0,1.0,4
206,-146,1,1.0,4
-298,-68,2,1.0,4
-34,-348,0,1.0,8
-12,-282,2,1.0,8
0,-313,0,1.0,7
4,-398,2,1.0,7
-1,-382,2,1.0,6
-1,-373,2,1.0,6
0,-368,2,1.0,6
-1,-360,2,1.0,6
0,-342,2,1.0,5
0,-329,2,1.0,5
0,-310,0,1.0,4
17,-302,2,1.0,4
0,-277,2,1.0,3
-1,-263,1,1.0,3
-16,-192,2,1.0,3
0,-228,2,1.0,2
0,-212,2,1.0,2
-16,-191,1,1.0,2
-4,-197,2,1.0,2
-56,-191,1,1.0,1
-251,-156,1,1.0,1
-321,-141,2,1.0,1
-260,-116,0,1.0,1
-202,-108,2,1.0,1
-175,-97,0,1.0,1
-5,-97,2,1.0,1
-124,-405,1,1.0,10
-294,-375,0,1.0,10
144,-288,1,1.0,10
-3,-272,2,1.0,10
-2,-245,0,1.0,9
15,-247,2,1.0,9
-1,-221,0,1.0,9
33,-217,2,1.0,9
20,-199,1,1.0,8
-34,-332,0,1.0,10
67,-238,1,1.0,10
-135,-317,0,1.0,10
26,-274,1,1.0,10
-386,-326,0,1.0,10
115,-207,1,1.0,10
-268,-162,0,1.0,10
-17,-337,0,1.0,8
17,-332,2,1.0,8
0,-314,2,1.0,8
-2,-387,0,1.0,7
-7,-339,2,1.0,7
1,-333,2,1.0,7
-1,-286,2,1.0,6
-1,-281,2,1.0,6
0,-276,2,1.0,5
-1,-271,2,1.0,5
0,-265,2,1.0,5
1,-302,2,1.0,4
-1,-299,2,1.0,4
-1,-294,2,1.0,3
-1,-286,2,1.0,3
-1,-322,0,1.0,2
269,-240,1,1.0,1
10,-187,0,1.0,8
-4,-190,0,1.0,8
180,-121,1,1.0,8
-77,-354,2,1.0,8
-42,-294,0,1.0,8
9,-335,2,1.0,8
1,-330,2,1.0,8
-1,-408,2,1.0,8
-1,-360,2,1.0,8
0,-258,2,1.0,7
0,-384,2,1.0,7
0,-237,2,1.0,7
0,-363,2,1.0,7
0,-264,2,1.0,6
0,-262,2,1.0,6
0,-256,2,1.0,6
0,-246,2,1.0,6
0,-238,2,1.0,6
0,-319,2,1.0,5
0,-223,2,1.0,5
0,-307,2,1.0,5
0,-304,2,1.0,5
0,-292,2,1.0,4
0,-286,2,1.0,4
0,-282,2,1.0,4
0,-275,2,1.0,4
0,-269,2,1.0,4
0,-262,2,1.0,3
0,-255,2,1.0,3
0,-249,2,1.0,3
0,-243,2,1.0,3
0,-238,2,1.0,3
0,-232,2,1.0,2
0,-222,0,1.0,2
31,-218,2,1.0,2
-1,-204,2,1.0,2
53,-197,2,1.0,1
47,-195,1,1.0,1
-231,-170,2,1.0,1
-216,-163,2,1.0,1
-185,-150,0,1.0,1
-140,-146,2,1.0,1
-79,-145,2,1.0,1
-79,-145,2,1.0,1
-170,-132,0,1.0,1
-33,-131,2,1.0,1
-23,-131,2,1.0,1
-83,-131,2,1.0,1
-83,-131,0,1.0,1
27,-131,2,1.0,1
147,-130,1,1.0,1
32,-129,2,1.0,1
32,-129,1,1.0,1
-28,-129,2,1.0,1
-98,-129,0,1.0,1
-38,-129,2,1.0,1
7,-129,2,1.0,1
7,-129,2,1.0,1
-155,-419,0,1.0,10
-62,-411,2,1.0,10
19,-303,2,1.0,10
14,-391,0,1.0,10
39,-380,0,1.0,10
48,-413,1,1.0,10
0,-393,0,1.0,10
0,-255,2,1.0,10
0,-336,2,1.0,10
0,-330,2,1.0,9
0,-366,2,1.0,9
0,-317,2,1.0,9
0,-311,2,1.0,9
0,-305,2,1.0,9
-7,-303,2,1.0,8
0,-296,2,1.0,8
0,-286,2,1.0,8
0,-280,2,1.0,8
0,-226,2,1.0,8
0,-267,2,1.0,7
0,-302,2,1.0,7
0,-205,2,1.0,7
0,-284,2,1.0,7
0,-238,2,1.0,6
0,-228,2,1.0,6
0,-262,1,1.0,6
-1,-259,2,1.0,6
0,-254,2,1.0,6
-1,-249,2,1.0,5
0,-200,2,1.0,5
0,-200,2,1.0,5
0,-200,2,1.0,5
-2,-225,2,1.0,5
-2,-218,2,1.0,4
-2,-213,2,1.0,4
-1,-209,2,1.0,4
-2,-201,0,1.0,4
-16,-195,1,1.0,4
-119,-400,0,1.0,10
27,-266,1,1.0,10
-81,-397,0,1.0,10
16,-308,1,1.0,10
-20,-428,0,1.0,8
7,-377,2,1.0,8
-1,-403,2,1.0,7
-1,-358,2,1.0,7
-1,-353,2,1.0,7
0,-344,2,1.0,7
0,-339,2,1.0,7
0,-334,2,1.0,7
0,-329,2,1.0,7
1,-328,2,1.0,6
0,-324,2,1.0,6
-1,-315,0,1.0,6
18,-307,2,1.0,6
-2,-299,2,1.0,5
-2,-294,2,1.0,5
-2,-289,2,1.0,5
0,-283,1,1.0,5
-27,-315,2,1.0,5
-7,-307,2,1.0,5
0,-261,2,1.0,4
0,-255,2,1.0,4
-1,-289,2,1.0,4
-1,-284,2,1.0,4
0,-238,2,1.0,4
0,-269,2,1.0,3
-2,-264,2,1.0,3
-2,-259,2,1.0,3
-1,-255,2,1.0,3
0,-208,2,1.0,3
-1,-241,2,1.0,2
0,-234,2,1.0,2
0,-228,0,1.0,2
31,-222,2,1.0,2
18,-217,2,1.0,2
-1,-205,1,1.0,1
-35,-201,2,1.0,1
-28,-198,2,1.0,1
-28,-198,2,1.0,1
32,-197,2,1.0,1
32,-197,0,1.0,1
55,-192,2,1.0,1
88,-180,1,1.0,1
-42,-180,2,1.0,1
-42,-180,0,1.0,1
-7,-180,2,1.0,1
-7,-180,2,1.0,1
-7,-180,2,1.0,1
-7,-180,2,1.0,1
-159,-371,1,1.0,10
-298,-352,2,1.0,10
-247,-331,0,1.0,10
44,-253,1,1.0,9
20,-319,0,1.0,8
28,-198,1,1.0,6
0,-270,0,1.0,4
-7,-208,1,1.0,4
-7,-256,2,1.0,4
0,-240,2,1.0,4
-1,-239,0,1.0,3
0,-192,2,1.0,3
0,-192,2,1.0,3
46,-208,0,1.0,2
57,-207,2,1.0,2
101,-196,1,1.0,2
33,-192,1,1.0,2
57,-164,1,1.0,2
7,-164,1,1.0,2
-124,-167,0,1.0,1
-11,-166,0,1.0,1
-118,-457,0,1.0,12
0,-322,2,1.0,11
0,-317,2,1.0,10
0,-313,2,1.0,10
0,-309,2,1.0,10
0,-386,2,1.0,10
0,-292,2,1.0,10
0,-330,2,1.0,10
0,-368,2,1.0,9
0,-364,2,1.0,9
0,-320,2,1.0,9
0,-275,2,1.0,9
-1,-218,2,1.0,9
-1,-208,2,1.0,8
0,-339,2,1.0,8
0,-254,2,1.0,8
0,-288,1,1.0,8
-213,-169,1,1.0,7
-281,-155,2,1.0,7
-250,-142,0,1.0,7
-204,-138,2,1.0,7
-192,-133,2,1.0,7
-166,-122,2,1.0,7
-88,-235,0,1.0,7
-32,-230,2,1.0,7
2,-185,2,1.0,7
-1,-214,2,1.0,6
0,-209,2,1.0,6
0,-204,2,1.0,5
1,-200,2,1.0,5
-10,-153,2,1.0,4
-10,-153,2,1.0,4
-10,-153,2,1.0,4
-10,-153,2,1.0,4
-37,-175,2,1.0,4
-37,-175,0,1.0,4
-5,-152,2,1.0,4
-130,-360,1,1.0,12
-119,-241,0,1.0,12
0,-312,1,1.0,8
11,-199,0,1.0,8
-64,-289,0,1.0,8
0,-354,2,1.0,8
0,-324,0,1.0,7
5,-316,2,1.0,7
0,-310,2,1.0,7
0,-306,2,1.0,7
0,-301,2,1.0,6
0,-296,2,1.0,6
0,-291,2,1.0,6
0,-286,2,1.0,6
0,-280,2,1.0,6
-1,-274,2,1.0,5
-1,-268,2,1.0,5
-1,-263,2,1.0,5
0,-258,2,1.0,5
-1,-295,2,1.0,5
-1,-286,0,1.0,5
0,-230,0,1.0,4
4,-230,2,1.0,4
-1,-218,2,1.0,4
0,-214,2,1.0,4
-1,-202,2,1.0,3
0,-200,2,1.0,3
0,-237,2,1.0,3
-2,-229,2,1.0,3
60,-219,2,1.0,2
43,-212,2,1.0,2
13,-200,1,1.0,2
-20,-199,2,1.0,2
-20,-199,2,1.0,2
-20,-199,0,1.0,2
10,-199,2,1.0,2
10,-199,2,1.0,2
10,-199,2,1.0,2
10,-199,2,1.0,2
-43,-195,0,1.0,2
2,-140,2,1.0,2
79,-183,1,1.0,1
4,-183,2,1.0,1
-134,-406,0,1.0,10
-47,-399,2,1.0,10
0,-418,1,1.0,10
-1,-279,2,1.0,10
0,-362,2,1.0,10
0,-358,2,1.0,10
0,-354,2,1.0,10
0,-258,2,1.0,10
0,-342,2,1.0,10
0,-312,2,1.0,9
0,-300,2,1.0,8
0,-291,2,1.0,8
0,-291,2,1.0,8
0,-282,2,1.0,8
0,-266,2,1.0,7
0,-258,2,1.0,7
0,-255,2,1.0,7
0,-242,2,1.0,7
0,-240,2,1.0,7
-1,-232,2,1.0,6
0,-227,2,1.0,6
0,-222,2,1.0,6
0,-215,2,1.0,6
0,-203,2,1.0,5
0,-200,2,1.0,5
0,-200,2,1.0,5
0,-200,2,1.0,4
-33,-197,2,1.0,3
-33,-197,2,1.0,3
-33,-197,0,1.0,3
17,-197,2,1.0,3
17,-197,2,1.0,3
17,-197,2,1.0,3
14,-185,2,1.0,3
14,-185,2,1.0,2
14,-185,2,1.0,2
14,-185,2,1.0,2
14,-185,2,1.0,2
14,-185,2,1.0,2
14,-185,1,1.0,2
-26,-185,2,1.0,2
31,-196,2,1.0,2
31,-196,2,1.0,2
31,-196,2,1.0,2
31,-196,0,1.0,2
-1,-185,2,1.0,2
-1,-185,2,1.0,2
53,-193,1,1.0,1
-73,-188,2,1.0,1
-70,-187,0,1.0,1
60,-187,2,1.0,1
0,-186,1,1.0,1
-60,-186,2,1.0,1
-65,-186,0,1.0,1
-25,-186,2,1.0,1
-25,-186,2,1.0,1
-25,-186,0,1.0,1
15,-186,2,1.0,1
15,-186,2,1.0,1
15,-186,1,1.0,1
-30,-186,2,1.0,1
-30,-186,0,1.0,1
-5,-186,2,1.0,1
-140,-319,2,1.0,12
-126,-313,0,1.0,12
0,-422,1,1.0,12
7,-370,2,1.0,12
-58,-349,1,1.0,11
-87,-341,2,1.0,11
0,-371,2,1.0,11
-25,-314,0,1.0,10
1,-285,0,1.0,8
0,-220,0,1.0,5
0,-293,0,1.0,3
73,-226,1,1.0,2
0,-227,2,1.0,1
-127,-370,0,1.0,14
0,-291,2,1.0,13
0,-287,2,1.0,13
0,-289,2,1.0,12
0,-282,2,1.0,12
0,-316,2,1.0,12
0,-272,2,1.0,12
0,-266,2,1.0,12
0,-258,1,1.0,11
-7,-386,2,1.0,11
-170,-343,1,1.0,10
-211,-291,2,1.0,10
-38,-312,0,1.0,10
0,-302,2,1.0,10
-2,-263,2,1.0,9
-2,-248,2,1.0,8
-1,-200,2,1.0,8
-1,-200,2,1.0,8
0,-236,2,1.0,8
0,-223,0,1.0,7
4,-208,2,1.0,7
0,-200,1,1.0,6
0,-193,2,1.0,6
-52,-183,2,1.0,6
-52,-183,0,1.0,6
-9,-190,2,1.0,6
-9,-190,2,1.0,6
-32,-135,2,1.0,5
-32,-135,2,1.0,5
-32,-135,0,1.0,5
-47,-178,2,1.0,5
-42,-178,2,1.0,5
-42,-178,2,1.0,5
-42,-178,1,1.0,5
18,-134,2,1.0,5
-2,-134,2,1.0,5
-2,-134,2,1.0,5
-2,-134,2,1.0,5
18,-176,2,1.0,4
18,-176,2,1.0,4
-30,-169,0,1.0,4
-10,-169,2,1.0,4
-4,-116,2,1.0,4
83,-172,1,1.0,3
-5,-168,2,1.0,3
-5,-168,2,1.0,3
-17,-172,1,1.0,2
-72,-172,2,1.0,2
-72,-172,2,1.0,2
-72,-172,0,1.0,2
-65,-133,0,1.0,2
30,-133,1,1.0,1
-160,-372,0,1.0,16
0,-391,1,1.0,12
-118,-347,1,1.0,11
-131,-330,2,1.0,11
-157,-315,2,1.0,11
-109,-295,0,1.0,11
-46,-282,2,1.0,11
0,-279,0,1.0,11
9,-200,2,1.0,9
-1,-223,2,1.0,9
-1,-204,2,1.0,8
0,-200,2,1.0,8
0,-200,0,1.0,8
8,-198,2,1.0,8
23,-138,1,1.0,8
2,-198,2,1.0,8
-13,-198,2,1.0,8
-22,-138,2,1.0,7
-32,-195,2,1.0,7
1,-190,0,1.0,7
176,-109,2,1.0,6
161,-117,2,1.0,6
161,-117,1,1.0,6
126,-117,2,1.0,6
62,-96,0,1.0,3
112,-96,1,1.0,3
-237,-454,1,1.0,16
-270,-449,0,1.0,16
0,-377,0,1.0,14
-1,-200,1,1.0,13
-88,-371,0,1.0,16
1,-282,1,1.0,16
-14,-343,2,1.0,16
-79,-443,0,1.0,8
-1,-337,2,1.0,8
0,-399,2,1.0,7
0,-340,2,1.0,5
0,-309,2,1.0,4
-1,-241,2,1.0,4
23,-275,2,1.0,3
12,-270,2,1.0,3
22,-268,2,1.0,3
7,-262,2,1.0,3
-2,-256,2,1.0,3
-2,-251,2,1.0,3
-99,-217,0,1.0,1
8,-200,2,1.0,1
-162,-377,0,1.0,10
1,-315,2,1.0,10
-3,-242,1,1.0,4
9,-231,1,1.0,4
36,-197,1,1.0,2
-29,-197,0,1.0,2
-122,-164,0,1.0,1
-27,-164,0,1.0,1
-159,-462,0,1.0,12
0,-252,2,1.0,6
